title,series_launch_year,season_count,total,average,1s,2s,3s,4s,5s
GundamBuildFighters,2023,1,586,4.6,396,167,447,1.6,33
GunmaChan,2022,1,100,3.3,354,212,521,1.3,5.2
GunslingerGirl,2018,1,670,4.4,30,13,38,134,984
Gurazeni:MoneyPitch,2018,1,142,4.2,20,10,42,148,1
Guyver:TheBioboostedArmor,2023,1,488,4.5,59,22,68,174,1
GXYZ123,2010,1,25,3.1,18,5,18,51,222
H2O:FootprintsintheSand,2014,7,2099,4.5,35,15,26,50,143
Haikyu!!,2019,1,50801,4.9,113,43,91,113,333
HakataMentai!Pirikarako-chan,2018,1,55,3.4,23,5,14,27,151
HakataTonkotsuRamens,2015,1,1747,4.6,178,103,183,462,1.4
Hakone-chan,2020,1,190,3.8,98,56,133,317,2.9
Hakubo,2021,1,572,4.5,9,7,16,28,95
Hakuoki~DemonoftheFleetingBlossom~,2022,1,757,4.6,67,31,75,158,491
Hakuoki~DemonoftheFleetingBlossom~(Drama),2018,1,231,3.8,47,39,130,461,2.1
HAKYUHOSHINENGI,2014,2,336,3.1,116,13,19,30,611
Hamatora,2022,1,785,4.3,44,19,20,30,85
Hanabichan~Thegirlwhopoppedoutofthegameworld~,2014,1,333,3.9,380,353,865,2.1,5.2
HaNaYaMaTa,2017,1,437,4.5,138,78,221,622,1.8
HandShakers,2022,1,762,3.3,29,14,26,106,654
Handa-kun,2023,1,2321,4.6,40,19,32,45,113
HandymanSaitouinanotherworld,2018,1,21041,4.6,37,15,58,150,534
HANEBADO!,2009,1,999,4.2,863,27,31,30,390
Happiness!,2022,2,3356,4.5,38,6,3,3,31
HaremintheLabyrinthofAnotherWorld,2023,5,32126,3.9,17,11,19,68,278
HarmonQuest,2018,1,873,3.2,17,14,20,12,39
HarukanaReceive,2022,1,1120,4.5,21,12,24,62,185
HatenaIllusion,2013,2,323,3.8,819,243,242,106,292
HayatetheCombatButler!,2010,2,297,4.3,6,8,5,10,43
HayatetheCombatButler!(Season1\u00262),2018,1,6060,4.7,10,6,39,106,368
HeWasAnime(NFL'sMikeDaniels),2022,1,119,3.6,533,169,423,2.5,20.5
HealerGirl,2017,1,1527,4.6,21,16,17,33,99
HeatGuyJ,2023,1,140,4.3,1.2,435,1.1,2.7,13.8
HeavenOfficial'sBlessing,2021,1,13294,4.9,853,165,284,505,1.9
Heaven'sDesignTeam,2022,2,1461,4.6,40,30,67,125,461
Heaven'sLostProperty,2023,1,4274,4.5,37,31,85,159,447
Hell'sParadise,2022,1,99890,4.9,500,92,310,1.3,25.6
HellsingUltimate,2022,1,4809,4.9,133,38,60,140,595
Hensuki-Areyouwillingtofallinlovewithapervert,2014,1,4645,4.4,182,116,367,1.1,5.5
HEROBANK,2022,1,41,3.1,46,19,21,40,221
HeroinesRuntheShow,2010,1,3401,4.6,889,283,892,3.4,35.1
HEROMAN,2022,2,1049,4.3,143,64,186,723,8.5
Hetalia,2016,1,1275,4.1,13,11,14,27,98
HEYBOT!,2021,1,63,3,14,8,13,28,124
Higehiro:AfterBeingRejected,2023,1,26600,4.8,37,33,80,251,1.9
HIGHCARD,2021,1,4207,4.7,20,16,26,67,154
HighGuardianSpice,2022,2,11330,1.6,50,25,28,41,98
HighSchoolDxD,2019,1,32087,4.7,56,22,42,42,105
HighSchoolProdigiesHaveItEasyEvenInAnotherWorld,2022,2,10280,4.2,62,25,61,244,5.1
Higurashi:WhenTheyCry-GOU,2010,1,1935,4.5,43,24,52,146,479
HikakinBeatbox,2014,1,96,4,18,14,32,72,319
Himegoto,2018,1,665,4.1,24,9,21,69,463
HIMOTEHOUSE:Asharehouseofsuperpsychicgirls,2017,1,99,3.1,34,5,6,9,46
HinakoNote,2018,1,519,4.4,28,20,45,117,460
HINAMATSURI,2018,1,4610,4.7,14,8,8,22,90
HinomaruSumo,2016,2,3025,4.8,19,11,32,65,361
HitoriNoShita-TheOutcast,2019,1,3718,4.5,9,2,1,3,10
HitoribocchinoMarumaruseikatsu,2018,1,2245,4.8,59,35,117,403,1.5
HolmesofKyoto,2022,2,1566,4.4,787,171,398,1.9,47.5
Horimiya,2022,1,77669,4.9,10,11,4,5,25
HortensiaSAGA,2021,1,1455,4,53,17,82,244,1.4
HowaRealistHeroRebuilttheKingdom,2019,1,24061,4.8,10,17,42,44,77
